38 Sea Zone  (6411,2750)  (6503,2832)  (6401,2832)  (6615,3003)  (6481,2986)  (6603,3142)  (6614,3072)  (6445,3063)  (6515,2905)  (6405,2905)  (6648,3356)  (6436,3364)  (6614,3289)  (6441,3289)  (6433,3141)  (6601,3215)  (6439,3215)  | overflowToLeft=true
British Columbia  (10573,1057)  (10611,1130)  (10498,984)  (10610,981)  (10518,897)  (10630,897)  (10679,1052)  (10714,1127)  (10783,1049)  (10821,1158)  (10927,1158)  (10474,814)  (10423,737)  (10323,661)  (10330,580)  (10344,489)  (10451,533)  (10441,625)  (10898,1076)  (10885,997)  (11006,1070)  (10997,990)  (10891,922)  (10528,712)  (10586,805)  (10550,624)  (10559,543)  (10659,623)  (10636,707)  (10695,791)  (10766,616)  (10746,700)  (10800,773)  (10809,844)  (10911,845)  (10904,768)  (10851,697)  (10867,613)  (10935,531)  (10969,610)  (10954,686)  (11010,755)  (11013,838)  (10998,913)  (11029,1155)  (11032,495)  | overflowToLeft=false
Buyant-Uhaa  (7111,1665)  (7015,1708)  (7025,1650)  (7090,1740)  (7210,1661)  (7164,1554)  (7144,1611)  (7248,1590)  | overflowToLeft=false
94 Sea Zone  (3717,2505)  (3675,2433)  (3589,2359)  (3489,2366)  (3475,2293)  (3390,2361)  (3383,2285)  (3578,2293)  (3410,2425)  (3675,2562)  | overflowToLeft=true
Portuguese Guinea  (2775,3219)  | overflowToLeft=false
Olgiy  (6325,1470)  (6370,1570)  (6440,1554)  (6302,1530)  (6403,1480)  (6497,1514)  | overflowToLeft=false
125 Sea Zone  (3799,328)  (3927,249)  (3793,249)  (3933,324)  (3888,401)  (3837,475)  (3758,399)  (3708,474)  (3629,397)  (3664,321)  (3659,249)  (3930,164)  (3794,173)  (3793,82)  (3651,93)  (3661,169)  (3515,119)  (3524,194)  (3515,266)  (3521,338)  (3561,471)  (3386,319)  (3368,240)  (3379,167)  (3337,91)  | overflowToLeft=true
46 Sea Zone  (8648,4086)  (8575,4166)  (8710,4163)  (8714,3603)  (8545,3677)  (8704,3681)  (8540,3755)  (8672,3755)  (8565,3601)  (8423,3600)  (8727,3831)  (8848,4030)  (8444,4134)  (8855,4189)  (8987,4174)  (8990,4035)  | overflowToLeft=false
Johnston Island  (9510,3105)  | overflowToLeft=false
Western Germany  (3730,1425)  (3791,1155)  (3648,1495)  (3660,1425)  (3720,1540)  (3745,1600)  (3715,1345)  (3810,1348)  (3860,1550)  (3830,1609)  (3765,1490)  (3810,1290)  (3830,1475)  (3790,1547)  (3815,1665)  (3765,1730)  (3820,1400)  (3915,1525)  (3830,1225)  (3710,1280)  (3925,1595)  (3890,1681)  | overflowToLeft=false
Eastern Persia  (5500,2267)  (5545,2564)  (5473,2213)  (5551,2198)  (5523,2510)  (5449,2402)  (5493,2456)  (5527,2375)  (5517,2321)  (5515,2618)  | overflowToLeft=false
Finland  (4437,548)  (4420,619)  (4346,676)  (4381,735)  (4368,812)  (4431,312)  (4417,391)  | overflowToLeft=true
Sumatra  (6781,3900)  (6812,3815)  (6720,3825)  (6661,3604)  (6610,3545)  (6550,3475)  (6647,3674)  (6738,3755)  (6746,3655)  (6796,3959)  | overflowToLeft=false
23 Sea Zone  (8710,2720)  (8710,2785)  (8833,2718)  (8709,2850)  (8830,2787)  (8708,2916)  (8830,2855)  (8958,2718)  (8955,2784)  (8954,2851)  (8835,2915)  (8946,2930)  | overflowToLeft=false
Northwest Persia  (5177,2275)  (5264,2120)  (5175,2209)  (5155,2135)  (5130,2090)  (5255,2230)  (5212,2090)  (5295,2086)  (5249,2023)  | overflowToLeft=false
41 Sea Zone  (6551,3883)  (6413,3883)  (6400,3959)  (6524,3960)  (6646,3956)  (6807,4061)  (6674,4040)  (6544,4041)  (6408,4044)  (6407,3806)  (6542,3803)  (6411,3724)  (6426,3640)  (6416,3555)  (6408,3476)  (6401,4120)  (6536,4120)  (6679,4120)  (6809,4135)  (6810,4222)  (6687,4196)  (6529,4198)  (6397,4203)  (6809,4298)  (6686,4303)  (6560,4315)  (6415,4342)  | overflowToLeft=true
Southern France  (3491,1959)  (3425,1932)  (3501,1889)  (3425,1863)  (3345,1870)  (3491,1819)  (3408,1735)  (3325,1812)  (3240,1887)  (3280,1935)  | overflowToLeft=true
64 Sea Zone  (634,3011)  (483,2936)  (422,2857)  (410,2765)  (559,3094)  (348,2949)  (287,2866)  (271,2765)  (258,2687)  (299,3033)  (528,3192)  (368,3191)  (282,3112)  (216,3195)  (147,3112)  (154,3032)  (201,2951)  (150,2865)  (134,2778)  (122,2696)  (204,2606)  (56,2598)  (5,2771)  (10,2850)  (42,2940)  (17,3020)  (9,3101)  (10,3187)  | overflowToLeft=true
Northern Italy  (3733,1913)  (3583,1900)  (3578,1810)  (3630,1860)  (3780,1830)  (3880,1800)  (3680,1789)  (3790,1790)  (3651,1906)  (3873,1855)  (3895,1920)  (3945,1970)  | overflowToLeft=false
Western Australia  (7850,4720)  (7769,4580)  (7719,4650)  (7827,4651)  (7750,4730)  (7784,4790)  (7812,4862)  (7920,4675)  (7961,4717)  (7965,4789)  (7908,4857)  (7994,4858)  (7985,4926)  (7885,4935)  (7785,4936)  | overflowToLeft=true
Paulau Island  (8110,3370)  (8070,3435)  (8068,3519)  | overflowToLeft=true
76 Sea Zone  (5127,3691)  (5130,3615)  (4996,3692)  (5130,3537)  (4808,3243)  (5003,3290)  (4822,3317)  (4862,3390)  (5010,3364)  (5128,3365)  (5126,3450)  (4895,3698)  (4998,3619)  (5000,3546)  (5133,3287)  (5132,3207)  | overflowToLeft=false
110 Sea Zone  (3480,1090)  (3590,1091)  (3562,1165)  (3520,1013)  (3420,1019)  (3480,1200)  (3472,936)  (3342,934)  (3286,1287)  (3145,1255)  (3022,1296)  (3026,1372)  (2915,1405)  (2900,1311)  (3154,1330)  (3395,1100)  (3135,1413)  (3475,1255)  (3385,1275)  (2815,1415)  (2805,1320)  | overflowToLeft=true
15 Sea Zone  (9244,1862)  (9439,1862)  (9249,1785)  (9432,1782)  (9256,1709)  (9400,1705)  (9425,1630)  (9263,1632)  (9249,1555)  (9404,1557)  | overflowToLeft=false
4 Sea Zone  (9093,1212)  (8937,1212)  (8917,1129)  (9074,1128)  (8916,1045)  (9080,1044)  (8910,958)  (9077,964)  (8915,883)  (9044,885)  (9185,881)  (8916,804)  (9046,805)  (9048,715)  (9166,712)  (9277,703)  (9170,804)  (9284,803)  | overflowToLeft=false


Libya  (3870,2742)  (3874,2820)  (3775,2710)  (3685,2682)  (3690,2749)  (3900,2873)  (3916,2940)  (3605,2728)  (3670,2851)  (3780,2852)  (3773,2924)  | overflowToLeft=true


Nenetsia  (4954,460)  (5040,555)  (5120,680)  (5095,610)  (5081,505)  (5050,422)  (5147,399)  (5333,397)  (5175,532)  (5242,406)  (5260,464)  (5273,520)  (5349,455)  (5437,450)  (5430,385)  (5005,490)  (5230,578)  (5159,467)  (5516,409)  | overflowToLeft=false
South Australia  (8175,4828)  (8095,4840)  (8393,4779)  (8396,4865)  (8409,4923)  (8274,4802)  (8299,4873)  (8311,4941)  | overflowToLeft=true
21 Sea Zone  (8179,3231)  (8058,3235)  (8178,3175)  (8060,3176)  (8071,3109)  (8060,3043)  (8045,2977)  (8152,2978)  (8040,2913)  (8037,2860)  (8037,2786)  (8149,2910)  (8147,2847)  (8145,2783)  (8055,2715)  (8156,2715)  | overflowToLeft=false
Sweden  (4044,784)  (4161,578)  (4059,623)  (4131,505)  (4237,505)  (4185,433)  (4287,432)  (3981,854)  (4081,859)  (4003,929)  (4007,1007)  (4288,356)  | overflowToLeft=false
Kansu  (6300,1687)  (6233,1750)  (6149,1695)  (6175,1614)  (6278,1615)  (6330,1735)  (6415,1775)  (6400,1705)  (6490,1735)  (6505,1835)  (6195,1538)  | overflowToLeft=false
Holland Belgium  (3475,1340)  (3535,1375)  (3575,1415)  (3620,1315)  (3540,1320)  (3640,1253)  | overflowToLeft=false
97 Sea Zone  (4065,2455)  (3985,2390)  (4070,2380)  (4060,2325)  (4040,2261)  (4005,2132)  (3955,2060)  (3905,2015)  (3856,1956)  (3820,1901)  (3979,2467)  (4125,2469)  | overflowToLeft=false
Siberia  (8149,736)  (8244,906)  (8040,899)  (8368,750)  (8483,630)  (7943,743)  (8010,816)  (8287,825)  (8148,814)  (8142,891)  (8382,676)  (7836,745)  (8042,741)  (8258,743)  (8272,669)  (8165,661)  (7933,666)  (7933,594)  (8042,596)  (8155,588)  (8264,596)  (8373,604)  (8245,512)  (8145,513)  (8029,514)  (7906,517)  (7910,437)  (8016,430)  (8122,429)  (8240,433)  | overflowToLeft=false
Poland  (4330,1435)  (4285,1245)  (4155,1355)  (4250,1345)  (4290,1180)  (4210,1279)  (4240,1410)  (4300,1495)  (4295,1540)  | overflowToLeft=false
92 Sea Zone  (3295,2420)  (3298,2355)  (3200,2435)  (3099,2439)  (3105,2365)  (3190,2328)  (3301,2292)  (2999,2375)  (2995,2445)  (2995,2514)  (3200,2266)  | overflowToLeft=true
18 Sea Zone  (8165,2558)  (8164,2478)  (8162,2640)  (8274,2644)  (8057,2481)  (8060,2560)  (8272,2559)  (8274,2477)  (8058,2641)  | overflowToLeft=true
Bulgaria  (4215,2100)  (4235,2025)  (4310,2025)  (4302,2080)  (4390,2058)  (4410,2015)  | overflowToLeft=false
Tunisia  (3514,2575)  (3605,2575)  (3613,2647)  (3535,2644)  (3547,2530)  (3625,2520)  (3590,2480)  (3550,2700)  | overflowToLeft=true
117 Sea Zone  (2073,1145)  (2039,1224)  (1935,1144)  (2013,1070)  (1907,1225)  (2171,1223)  (1806,1144)  (2147,1067)  (2202,1141)  (2201,1296)  (2098,995)  (2204,919)  (2093,837)  (2206,764)  (2048,1297)  (1916,1299)  (2091,724)  | overflowToLeft=true


Java  (7184,4070)  (7290,4110)  (7078,4070)  (7483,4160)  (7565,4212)  (7663,4170)  (7385,4161)  (7768,4212)  (6971,4048)  (7851,4201)  | overflowToLeft=true
51 Sea Zone  (10612,4354)  (10613,4270)  (10617,4187)  (10613,4038)  (10614,3958)  (10613,3872)  (10750,3955)  (10749,3870)  (10749,4351)  (10887,4394)  (10615,3787)  (10617,3701)  (10757,3697)  (10756,3778)  (10751,4033)  (10754,4178)  (10753,4262)  (10894,3696)  (10898,3777)  (10885,3865)  (10895,3951)  (10893,4027)  (10892,4170)  (10891,4265)  (10623,4524)  (10664,4112)  (10804,4103)  (10951,4095)  (10980,4523)  | overflowToLeft=false
54 Sea Zone  (8680,4330)  (8669,4261)  (8804,4260)  (8938,4258)  (8818,4338)  (9104,4330)  (8959,4335)  (8860,4413)  (8717,4418)  (8789,4493)  (8919,4490)  (8992,4410)  (9124,4409)  (9086,4485)  (8973,4566)  (9108,4564)  (8841,4569)  (9112,4637)  (8984,4640)  (8857,4632)  (8976,4697)  (9111,4697)  | overflowToLeft=false
48 Sea Zone  (9205,3687)  (9204,3762)  (9205,3845)  (9341,3709)  (9336,3780)  (9335,3840)  (9468,3783)  (9471,3706)  (9195,3608)  (9195,3498)  (9335,3510)  (9439,3595)  (9442,3520)  | overflowToLeft=false
89 Sea Zone  (709,2792)  (703,2695)  (850,2747)  (708,2609)  (845,2659)  (849,2577)  (700,2525)  (987,2745)  (982,2666)  (985,2581)  (916,2504)  (1115,2583)  (1113,2660)  (1116,2749)  (550,2502)  (564,2417)  (569,2333)  (701,2345)  (497,2251)  (363,2252)  (992,2317)  (1129,2318)  (1267,2319)  (1231,2396)  (1335,2471)  (1291,2242)  (1324,2168)  (292,2327)  (1321,2813)  (1261,2887)  | overflowToLeft=false
Kenya  (4384,3579)  (4378,3649)  (4475,3659)  (4697,3747)  (4685,3675)  (4580,3666)  (4362,3722)  (4615,3737)  (4446,3729)  (4415,3780)  (4630,3800)  | overflowToLeft=false
123 Sea Zone  (2683,566)  (2549,564)  (2553,641)  (2685,646)  (2565,349)  (2700,326)  (2835,317)  (2843,238)  (2834,144)  (2700,231)  (2689,111)  (2555,266)  (2549,176)  (2542,89)  | overflowToLeft=true
Kweichow  (6960,2340)  (6880,2420)  (6895,2345)  (6805,2320)  (6891,2280)  (6796,2270)  (6854,2228)  | overflowToLeft=false
43 Sea Zone  (7280,3390)  (7380,3300)  (7380,3385)  (7280,3315)  (7365,3875)  (7366,3953)  (7237,3956)  (7230,3881)  (7246,3479)  (7170,3545)  (7103,3880)  (7385,3797)  (7378,3455)  (7408,3574)  (7101,3956)  | overflowToLeft=true
Sicily  (3795,2345)  (3874,2350)  (3860,2405)  | overflowToLeft=true
128 Sea Zone  (5337,1957)  (5342,1882)  (5380,2031)  (5292,1810)  (5216,1736)  (5287,1664)  | overflowToLeft=false
Bryansk  (4670,1534)  (4720,1436)  (4775,1500)  (4730,1536)  (4896,1581)  (4885,1515)  (4880,1462)  (4878,1387)  (4941,1331)  (4804,1415)  (5011,1322)  | overflowToLeft=false
Tsinghai  (6095,1854)  (6410,1974)  (6410,1898)  (6049,1778)  (6065,1700)  (5993,1855)  (5959,1927)  (6060,1928)  (6145,1810)  (6265,1822)  (6158,1915)  (6331,1875)  (6244,1910)  (6350,1945)  (6345,1814)  | overflowToLeft=false
26 Sea Zone  (9708,2932)  (9587,2940)  (9587,2865)  (9585,2794)  (9708,2866)  (9585,2722)  (9833,2931)  (9708,2798)  (9650,2653)  (9730,2727)  (9832,2864)  (9957,2929)  (9587,2445)  (9590,2374)  (9954,2859)  (9712,2445)  (9716,2375)  (10081,2928)  (9837,2451)  (9840,2516)  (9942,2581)  (10010,2648)  (10070,2716)  (10082,2783)  (9839,2377)  (9964,2511)  (9961,2436)  (9963,2363)  (10069,2577)  (10136,2643)  (10089,2507)  (10087,2446)  (10088,2371)  (10085,2853)  | overflowToLeft=false
7 Sea Zone  (8917,1536)  (8779,1536)  (8845,1454)  (8855,1618)  (9004,1618)  (9061,1536)  (8988,1453)  (8928,1700)  (8922,1372)  (9118,1454)  (9063,1373)  (9068,1698)  (8790,1703)  (8715,1618)  (8713,1457)  (8923,1293)  (9061,1295)  (9128,1616)  (9117,1764)  (8995,1765)  (8869,1766)  (8751,1772)  (8808,1385)  (8688,1389)  (8683,1689)  | overflowToLeft=false
2 Sea Zone  (9408,790)  (9560,796)  (9405,712)  (9432,642)  (9409,570)  (9420,475)  (9400,395)  (9400,313)  (9535,318)  (9402,233)  (9540,235)  (9679,236)  (9814,198)  (9949,267)  (9952,192)  (10089,316)  (10084,228)  (10219,266)  (10344,343)  (10469,372)  (10593,385)  (10531,307)  | overflowToLeft=false
Western United States  (10552,1241)  (10610,1796)  (10550,1637)  (10481,1542)  (10545,1700)  (10630,1710)  (10465,1450)  (10506,1391)  (10539,1311)  (10643,1313)  (10660,1234)  (10611,1390)  (10587,1470)  (10636,1644)  (10615,1585)  (10770,1239)  (10740,1556)  (10743,1638)  (10745,1718)  (10739,1790)  (10875,1247)  (10850,1323)  (10700,1475)  (10804,1475)  (10845,1547)  (10851,1629)  (10852,1703)  (10870,1782)  (10835,1855)  (10978,1255)  (10956,1328)  (10927,1404)  (10913,1474)  (10951,1542)  (10950,1616)  (10953,1688)  (10948,1762)  (10948,1833)  (11016,1472)  (11031,1399)  (11058,1326)  | overflowToLeft=false
Central America  (571,2741)  (564,2814)  (615,2884)  (735,2886)  (572,2598)  (474,2593)  (393,2529)  (377,2623)  | overflowToLeft=true
Gibraltar  (2911,2354)  (2976,2290)  (2905,2310)  | overflowToLeft=true
Cyprus  (4625,2409)  (4675,2366)  | overflowToLeft=false
35 Sea Zone  (7765,3055)  (7863,3125)  (7927,3061)  (7780,2933)  (7766,2998)  (7900,3189)  (7928,2998)  (7928,2934)  (7929,3256)  (7930,3317)  (7928,3380)  (7919,3433)  (7500,2999)  (7500,3069)  (7503,3133)  (7504,3201)  (7705,3437)  (7596,3302)  (7603,3373)  (7485,3392)  (7508,2934)  (7496,3448)  | overflowToLeft=true
81 Sea Zone  (4632,2837)  (4663,2906)  (4689,2977)  (4787,2976)  (4789,3046)  (4700,3045)  (4761,2906)  (4728,2836)  (4737,3110)  (4823,3110)  (4748,3162)  (4837,3164)  | overflowToLeft=false
44 Sea Zone  (7500,3591)  (7506,3515)  (7636,3514)  (7785,3511)  (7754,3714)  (7730,3810)  (7740,3875)  (7632,3955)  (7763,3950)  (7860,3790)  (7770,3575)  (7850,3900)  (7629,3580)  (7515,3960)  | overflowToLeft=true
Smolensk  (4775,1060)  (4815,1125)  (4790,1193)  (4793,1258)  (4816,1326)  (4848,1053)  (4889,1125)  (4884,1196)  (4931,1039)  (4891,1261)  | overflowToLeft=false
53 Sea Zone  (9250,4330)  (9252,4406)  (9375,4329)  (9382,4404)  (9523,4455)  (9248,4618)  (9509,4382)  (9530,4528)  (9442,4612)  (9574,4613)  (9508,4307)  (9640,4305)  (9703,4615)  | overflowToLeft=false
Iceland  (2647,495)  (2585,395)  | overflowToLeft=true
72 Sea Zone  (4803,3782)  (4740,3863)  (4849,3862)  (4702,3943)  (4691,4023)  (4914,3781)  (4812,3942)  (4806,4020)  (4919,3939)  (4907,4015)  (5020,3777)  (4707,4106)  (4811,4092)  (4918,4094)  (4708,4184)  (4698,4259)  (4811,4232)  (4917,4233)  (4689,4345)  (4806,4313)  (4811,4388)  (4700,4414)  (5011,4018)  (5021,4093)  (5023,4173)  (5025,3941)  (4629,4499)  (4735,4486)  (4633,4574)  (4738,4563)  (5144,3970)  (5134,4057)  (5156,4414)  (5130,4487)  (5075,4560)  (5037,4637)  (5148,4636)  (4989,4724)  (5114,4721)  (4638,4657)  (4632,4734)  (4741,4738)  (4855,4790)  (4630,4814)  (4734,4815)  (4967,4799)  (5096,4800)  (4637,4898)  (4745,4897)  (4862,4883)  (4974,4880)  (5102,4876)  (4641,4984)  (4748,4977)  (4855,4966)  (4967,4956)  (5086,4956)  (4643,5069)  (4752,5059)  (4864,5056)  (4976,5047)  (5111,5042)  | overflowToLeft=false
Yugoslavia  (4141,1905)  (3985,1815)  (4041,1866)  (4045,2030)  (4160,1955)  (4060,1965)  (3952,1885)  (3990,1936)  (4116,1860)  (4160,2030)  | overflowToLeft=false
Yakut S.S.R.  (7068,959)  (7214,1129)  (6995,1180)  (7170,962)  (7217,873)  (6926,1257)  (7137,1042)  (7099,1131)  (6935,1332)  (7168,793)  (6904,1404)  (7148,715)  (7164,638)  (7110,871)  (6849,1485)  (6962,966)  (7005,875)  (7056,793)  (7050,715)  (6947,710)  (7058,640)  (6942,637)  (7049,565)  (6813,1045)  (6859,1124)  (6947,563)  (7068,494)  (7062,421)  (7180,565)  | overflowToLeft=false
Belgian Congo  (4265,3587)  (4160,3592)  (4257,3511)  (4258,3664)  (4236,3739)  (4232,3818)  (4237,4052)  (4128,4038)  (4220,3980)  (4118,3966)  (4225,3899)  (4115,3892)  (4128,3816)  (4048,3596)  (4152,3666)  (4132,3741)  (4049,3672)  (3948,3588)  (3946,3661)  (4030,3743)  (4027,3814)  (4018,3888)  (3905,3924)  (3793,3909)  (3894,3852)  (3916,3784)  (3928,3727)  | overflowToLeft=true
103 Sea Zone  (2116,1834)  (2273,1665)  (2274,1744)  (2276,1824)  (2278,1902)  (2277,1980)  (2279,2065)  (2137,1665)  (2134,1749)  (2140,1906)  (2135,1984)  (2138,2067)  (1992,1664)  (1995,1747)  (1972,1831)  (1989,1911)  (1985,1989)  (1984,2071)  | overflowToLeft=true
63 Sea Zone  (9729,4838)  (9763,4913)  (9859,4838)  (9252,4933)  (9251,4778)  (9692,4702)  (9252,4855)  (9385,4779)  (9249,4701)  (9380,4700)  (9388,4858)  (9391,4932)  (9172,5010)  (9302,5009)  (9119,5084)  (9828,4701)  (9959,4700)  (10090,4700)  (9991,4835)  (9901,4915)  (9773,4993)  (9688,5072)  (9552,5105)  (9481,5183)  (9396,5260)  (9243,5298)  (9536,5259)  (9628,5181)  (9769,5163)  (9830,5075)  (9912,4992)  (10041,4919)  (10132,4838)  (10174,4912)  (10049,4995)  (9975,5068)  (9909,5156)  (9676,5258)  (9812,5246)  (9948,5241)  (10050,5155)  (10117,5075)  (10190,4990)  (10188,5148)  (10084,5241)  (10218,5239)  | overflowToLeft=false
Brazil  (1501,3404)  (1615,3344)  (1616,3442)  (1726,3389)  (1747,3475)  (1702,3564)  (1671,3652)  (1560,3644)  (1662,3730)  (1554,3727)  (1645,3807)  (1495,3315)  (1379,3258)  (1263,3228)  (1379,3337)  (1273,3311)  (1535,3807)  (1531,3893)  (1427,3813)  (1429,3729)  (1312,3719)  (1311,3805)  (1427,3945)  (1420,4030)  (1393,4107)  (1150,3140)  (1156,3219)  (1168,3304)  (1266,3389)  (1157,3383)  (1061,3303)  (1048,3231)  (1026,3154)  (1047,3376)  (1252,3465)  (1153,3458)  (1038,3445)  (949,3301)  (923,3380)  | overflowToLeft=true
Iwo Jima  (8540,2472)  (8500,2540)  (8523,2405)  | overflowToLeft=false
Algeria  (3188,2577)  (3186,2651)  (3355,2530)  (3402,2591)  (3425,2662)  (3450,2514)  (3125,2712)  (3215,2723)  (3250,2525)  (3279,2767)  (3320,2685)  (3365,2736)  (3460,2732)  | overflowToLeft=false
Alexandria  (4358,2848)  (4435,2940)  (4400,3005)  (4300,2740)  (4380,2723)  (4289,2799)  (4382,2783)  (4303,2945)  (4297,3009)  (4359,2902)  (4288,2889)  | overflowToLeft=true
Midway  (9215,2475)  (9295,2495)  | overflowToLeft=false
112 Sea Zone  (3728,934)  (3692,1009)  (3608,932)  (3622,845)  (3553,777)  (3615,701)  (3542,624)  (3672,622)  (3670,550)  (3799,553)  (3543,552)  | overflowToLeft=true
Sikang  (6350,2107)  (6545,2150)  (6477,2083)  (5950,2024)  (6054,2015)  (6158,2001)  (6049,2090)  (6257,1984)  (6450,2150)  (6399,2050)  (6313,2036)  (5953,2086)  (6142,2065)  (6357,2168)  | overflowToLeft=true
